"Canton (-) / District (>>) / Commune (......)","Date et objet","Bulletins valables","Oui","Oui en %"
"Suisse","2022-05-15 Modification de la loi fédérale sur la culture et la production cinématographiques (Loi sur le cinéma, LCin)",2148408,1255038,58.42
"Suisse","2022-02-13 Loi fédérale sur un train de mesures en faveur des médias",2388446,1084802,45.42
"Suisse","2022-02-13 Modification de la loi fédérale sur les droits de timbre (LT)",2363416,883251,37.37
"Suisse","2022-02-13 Initiative populaire «Oui à la protection des enfants et des jeunes contre la publicité pour le tabac» (enfants et jeunes sans publicité pour le tabac)",2420284,1371177,56.65
"Suisse","2022-02-13 Initiative populaire «Oui à l'interdiction de l'expérimentation animale et humaine - Oui aux approches de recherche qui favorisent la sécurité et le progrès»",2394546,499485,20.86
"Suisse","2021-11-28 Modification de la loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l'épidémie de COVID-19) (Loi COVID-19) (Cas de rigueur, assurance-chômage, accueil extra-familial pour enfants, acteurs culturels, manife",3583678,2222594,62.02
"Suisse","2021-11-28 Initiative populaire «Désignation des juges fédéraux par tirage au sort» (Initiative sur la justice)",3430137,1094989,31.92
"Suisse","2021-11-28 Initiative populaire «Pour des soins infirmiers forts» (Initiative sur les soins infirmiers)",3544096,2161272,60.98
"Suisse","2021-09-26 Modification du code civil suisse (Mariage pour tous)",2852949,1828642,64.10
"Suisse","2021-09-26 Initiative populaire «Alléger les impôts sur les salaires, imposer équitablement le capital»",2810307,987045,35.12
"Suisse","2021-06-13 Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",3202178,1811795,56.58
"Suisse","2021-06-13 Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2)",3239242,1568032,48.41
"Suisse","2021-06-13 Loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l'épidémie de COVID-19 (Loi COVID-19)",3216472,1936344,60.20
"Suisse","2021-06-13 Initiative populaire «Pour une Suisse libre de pesticides de synthèse»",3245187,1280026,39.44
"Suisse","2021-06-13 Initiative populaire «Pour une eau potable propre et une alimentation saine - Pas de subventions pour l'utilisation de pesticides et l'utilisation d'antibiotiques à titre prophylactique»",3246449,1276117,39.31
"Suisse","2021-03-07 Arrêté fédéral portant approbation de l'Accord de partenariat économique de large portée entre les États de l'AELE et l'Indonésie",2727150,1408462,51.65
"Suisse","2021-03-07 Loi fédérale sur les services d'identification électronique (LSIE)",2762770,984574,35.64
"Suisse","2021-03-07 Initiative «Oui à l'interdiction de se dissimuler le visage»",2788094,1427344,51.19
"Suisse","2020-11-29 Initiative populaire «Pour une interdiction du financement des producteurs de matériel de guerre»",2542334,1081684,42.55
"Suisse","2020-11-29 Initiative populaire « Entreprises responsables - pour protéger l'être humain et l'environnement »",2560809,1299129,50.73
"Suisse","2020-09-27 Arrêté fédéral relatif à l'acquisition de nouveaux avions de combat",3203163,1605839,50.13
"Suisse","2020-09-27 Loi sur les allocations pour perte de gain (contre-projet indirect à l'initiative populaire « Pour un congé de paternité raisonnable - en faveur de toute la famille »)",3204015,1933310,60.34
"Suisse","2020-09-27 Loi fédérale sur l'impôt fédéral direct (LIFD) (Déduction fiscale des frais de garde des enfants par des tiers)",3167686,1164451,36.76
"Suisse","2020-09-27 Loi fédérale sur la chasse et la protection des mammifères et oiseaux sauvages (Loi sur la chasse, LChP)",3185132,1531027,48.07
"Suisse","2020-09-27 Initiative populaire «Pour une immigration modérée (initiative de limitation)»",3222344,1233995,38.29
"Suisse","2020-02-09 Code pénal et code pénal militaire (Discrimination et incitation à la haine en raison de l'orientation sexuelle)",2241395,1414160,63.09
"Suisse","2020-02-09 Initiative populaire «Davantage de logements abordables»",2244071,963740,42.95
